id,accuracy_0,accuracy_1,cnf_0,cnf_1,pre_auroc2_0,pre_auroc2_1,post_auroc2_0,post_auroc2_1,d1_0,d1_1,score_0,score_1,bet_rt_0,bet_rt_1,ans_rt_0,ans_rt_1,cnf_rt_0,cnf_rt_1
5666932,0.5161290322580645,0.6341463414634146,4.387096774193548,4.585365853658536,0.5,0.49363425925925924,0.5015444015444016,0.6072681704260652,0.12128023124306092,0.6744897501960817,16,37,0.4647096774193548,0.46382926829268295,0.7142258064516129,0.8189512195121951,0.5898064516129032,0.5520487804878049
5666935,0.5135135135135135,0.5142857142857142,3.891891891891892,3.6,0.5,0.4992690058479532,0.6758366420873511,0.5287679799874921,0.14238170230878688,-0.031144091589711764,19,19,0.43365135135135136,0.4621,0.7044918918918919,0.7621542857142857,0.49822972972972973,0.5904285714285714
5666950,0.5294117647058824,0.6857142857142857,3.588235294117647,3.5714285714285716,0.5,0.4891666666666667,0.5210942649967041,0.6090146750524109,0.29196066181966707,0.9425590082830726,18,37,0.5370558823529412,0.5166714285714286,0.8946411764705883,0.8848171428571429,0.6925235294117648,0.8115828571428572
5666960,0.6,0.45714285714285713,3.5714285714285716,3.8285714285714287,0.5,0.5022058823529412,0.6328175370728563,0.5842237586423633,0.3882894038461454,0.04256860314788069,21,13,0.4547628571371429,0.5031857142657142,1.1052,1.1025571428571428,0.9648971428485714,0.9892714285685714
5666964,0.6486486486486487,0.6857142857142857,3,3.6,0.5,0.4891666666666667,0.5803408399269628,0.6411600279524808,0.6566704159027748,1.0074948483933783,24,37,0.4222405405297297,0.44187428571142856,0.6013540540432433,0.5753971428885715,0.8546891891945946,0.7919971428771428
5666968,0.7428571428571429,0.6944444444444444,4.4,4.222222222222222,0.5,0.4887820512820513,0.6998474446987033,0.565993265993266,1.166095176940992,1.3907520472360324,26,39,0.33067428573714286,0.3154972222388889,0.7225400000314286,0.8400888888972222,0.6007199999914286,0.7402499999944444
5666970,0.6470588235294118,0.631578947368421,3.235294117647059,3.3157894736842106,0.5,0.49333333333333335,0.6379310344827586,0.6029159519725558,0.7654409065940675,0.5579474097555114,22,34,0.5030558823470588,0.47647894737368424,0.7831235294088236,0.7583026315763158,0.7350117647058824,0.6871315789342105
5666975,0.6,0.6451612903225806,4,4.225806451612903,0.5,0.4910714285714286,0.6081081081081081,0.4786008230452675,0.7859532828652632,0.7446300809889639,24,29,0.5839025,0.48606451611612905,0.7986124999900001,0.7971129032387096,1.0581750000125,0.9809677419516128
5666977,0.7352941176470589,0.6578947368421053,4.323529411764706,4.368421052631579,0.5,0.4917582417582418,0.5885375494071147,0.6348973607038122,1.217124538013703,0.8181218043036831,25,37,0.35149411764705885,0.40945,0.5434264705882352,0.48890526315789473,0.6342382352941176,0.6999526315789474
5666981,0.46875,0.5428571428571428,4.40625,4.3428571428571425,0.5,0.49779411764705883,0.5205128205128206,0.5377121307353865,-0.7774069593448918,0.24149393370440397,15,22,0.369749999971875,0.37763714285428573,0.647228125,0.6334228571342857,0.446759374971875,0.4651771428685714
