id,condition,accuracy_high,accuracy_low,bet_high,bet_low,cnf_high,cnf_low,pre_auroc2_high,pre_auroc2_low,post_auroc2_high,post_auroc2_low,d1_high,d1_low,score_high,score_low,bet_rt_high,bet_rt_low,ans_rt_high,ans_rt_low,cnf_rt_high,cnf_rt_low
5667686,cnf,0.6,0.6111111111111112,0.5142857142857142,0.5277777777777778,3.6857142857142855,3.6666666666666665,0.4895833333333333,0.4879807692307692,0.4819471308833011,0.3614718614718615,0.543944489827703,1.2214340106748378,25,27,0.5280085714285714,0.45011666666666666,0.8544514285714285,0.8176861111111111,0.6170457142857143,0.607325
5667687,cnf,0.6666666666666666,0.5142857142857142,0.5,0.7428571428571429,4.611111111111111,4.4,0.4835164835164835,0.5,0.5026024723487313,0.5012507817385866,0.8219170681076061,0.0512338340318329,30,18,0.5655555555555556,0.4981257142857143,0.7583944444444445,0.6680342857142857,0.7973,0.9927857142857143
5667695,bet,0.4722222222222222,0.8235294117647058,0.5,0.5294117647058824,2.5277777777777777,3.2941176470588234,0.4949494949494949,0.453125,0.5799045915324985,0.6388621022179364,-0.18293740748924237,1.7598146582728411,19,40,0.4221361111111111,0.45006176470588233,0.9393083333333333,0.9857323529411764,0.6359444444444444,0.8883411764705882
5667715,bet,0.6388888888888888,0.8333333333333334,0.5,0.5,3.111111111111111,3.2777777777777777,0.4835164835164835,0.43137254901960786,0.5493358633776091,0.6972850678733031,0.7164975001779914,1.8354558812405513,29,44,0.39582222222222224,0.4056777777777778,0.6190472222222222,0.7741277777777777,0.37301388888888887,0.47906666666666664
5667726,cnf,0.5151515151515151,0.7272727272727273,0.3333333333333333,0.12121212121212122,3.8181818181818183,4.242424242424242,0.5347222222222222,0.3,0.554054054054054,0.7034454470877769,0.040842031841791915,1.2333120178025982,12,28,0.7250848484909092,0.6567969696909091,1.0119666666727272,1.014124242421212,1.0460727272818182,0.8465333333272728
5667753,cnf,0.4117647058823529,0.6060606060606061,0.4411764705882353,0.5454545454545454,4.588235294117647,4.606060606060606,0.5107142857142857,0.4895833333333333,0.42592592592592593,0.5172043010752688,-0.5768368489674027,0.6936409801244404,11,24,0.4588705882352941,0.55313333336969694,0.68886764705,0.8076363636484848,0.40926176472058823,0.7752878787818182
5667757,bet,0.75,0.9444444444444444,0.5,0.5277777777777778,4.111111111111111,4.888888888888889,0.4835164835164835,0.2625,0.7033898305084745,0.773972602739726,1.3859525064675124,2.824375157812327,33,53,0.42925,0.3045,0.9605833333333333,0.7630277777777777,0.3615,0.4202222222222222
5667787,bet,0.5714285714285714,0.7222222222222222,0.5142857142857142,0.5,4.171428571428572,4.416666666666667,0.47619047619047616,0.4835164835164835,0.5038095238095238,0.6473684210526315,0.33667904572340823,1.251271233338731,28,32,0.4499057142857143,0.44185277777777776,1.064277142857143,0.7986027777777778,0.7454514285714285,0.43396388888888887
5667802,cnf,0.5833333333333334,0.7222222222222222,0.5277777777777778,0.5,3.111111111111111,3.5833333333333335,0.4930555555555555,0.4949494949494949,0.4465045592705167,0.6108771929824561,0.42261009042648223,1.123221752049355,24,28,0.3859444444444444,0.4576111111111111,0.6636666666666666,0.9298055555555556,0.33175,0.4505277777777778
5667827,cnf,0.6666666666666666,0.9166666666666666,0.4722222222222222,0.5,3.8055555555555554,3.7777777777777777,0.49722222222222223,0.3888888888888889,0.455757970071568,0.6382842509603073,1.145193453501211,2.5311459599687236,25,49,0.3199916666666667,0.3418055555555556,0.72205,0.6234333333333334,0.765825,0.7826444444444445
5667828,bet,0.5428571428571428,0.6388888888888888,0.4857142857142857,0.5277777777777778,3.1714285714285713,3.1666666666666665,0.5027777777777778,0.4930555555555555,0.4434318038969201,0.7011385199240987,0.22317756556335983,0.6737183772763161,18,26,0.38100285714285714,0.3815027777777778,0.8844171428571429,0.8359416666666667,0.6210314285714286,0.547075
5667846,cnf,0.5,0.6857142857142857,0.75,0.6571428571428571,3.8055555555555554,3.3714285714285714,0.4988095238095238,0.4781746031746032,0.4512195121951219,0.4217330538085255,1e-4,1.0853249080767586,19,35,0.35030555555277776,0.3736000000057143,0.895077777775,0.8838828571485714,0.555308333325,0.8019828571400001
5667861,cnf,0.5555555555555556,0.6111111111111112,0.5833333333333334,0.4722222222222222,4.111111111111111,4.25,0.5018939393939394,0.4914772727272727,0.44954954954954957,0.58286951144094,0.3097732483066278,0.5549229427026535,19,25,0.47230833333055555,0.38941388888055556,0.8929500000027778,0.8554444444416667,0.3225361111055556,0.34459444445277776
5667916,cnf,0.6388888888888888,0.7428571428571429,0.5277777777777778,0.4857142857142857,3.75,3.6857142857142855,0.475,0.45416666666666666,0.60752688172043,0.6189931350114416,1.0054633270348,1.2683583720455358,32,37,0.5403055555555556,0.4070857142857143,0.6459444444444444,0.6337714285714285,0.8985277777777778,0.7728
5667926,bet,0.5277777777777778,0.5833333333333334,0.5,0.5,2.75,2.888888888888889,0.5050505050505051,0.4895833333333333,0.5453190220632081,0.5729483282674772,0.21952347339532607,0.42261009042648234,17,25,0.5525333333416667,0.5199277777694444,1.2903555555555555,1.0743500000027777,0.783877777775,0.6684444444527777
